Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,21,1N4148W,
"J1, J2",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x09_Socket,
SW1,MX-Hotswap-1U,1,SW1,
SW10,MX-Hotswap-1U,1,SW10,
SW11,MX-Hotswap-1U,1,SW11,
SW12,MX-Hotswap-2U,1,SW12,
SW13,MX-Hotswap-1U,1,SW13,
SW14,MX-Hotswap-1U,1,SW14,
SW15,MX-Hotswap-1U,1,SW15,
SW16,MX-Hotswap-1U,1,SW16,
SW17,MX-Hotswap-1U,1,SW17,
SW18,MX-Hotswap-1U,1,SW18,
SW19,MX-Hotswap-2U,1,SW19,
SW2,MX-Hotswap-1U,1,SW2,
SW20,MX-Hotswap-2U-ReversedStabilizers,1,SW20,
SW21,MX-Hotswap-1U,1,SW21,
SW3,MX-Hotswap-1U,1,SW3,
SW4,MX-Hotswap-1U,1,SW4,
SW5,MX-Hotswap-1U,1,SW5,
SW6,MX-Hotswap-1U,1,SW6,
SW7,MX-Hotswap-1U,1,SW7,
SW8,MX-Hotswap-1U,1,SW8,
SW9,MX-Hotswap-1U,1,SW9,
