Designator,Mid X,Mid Y,Rotation,Layer
D1,129.677861,-43.504067,180.0,bottom
D10,158.252861,-100.654067,180.0,bottom
D11,177.302861,-105.416567,180.0,bottom
D12,186.075933,-118.607861,270.0,bottom
D13,139.202861,-124.466567,180.0,bottom
D14,158.252861,-119.704067,180.0,bottom
D15,177.302861,-124.466567,180.0,bottom
D16,139.202861,-143.516567,180.0,bottom
D17,158.252861,-138.754067,180.0,bottom
D18,177.302861,-143.516567,180.0,bottom
D19,186.075933,-156.707861,270.0,bottom
D2,148.727861,-43.504067,180.0,bottom
D20,139.202861,-162.566567,180.0,bottom
D21,177.302861,-162.566567,180.0,bottom
D3,186.827861,-43.504067,180.0,bottom
D4,205.877861,-43.504067,180.0,bottom
D5,134.440361,-81.604067,180.0,bottom
D6,158.252861,-81.604067,180.0,bottom
D7,177.302861,-86.366567,180.0,bottom
D8,196.4,-90.75,180.0,bottom
D9,139.202861,-105.416567,180.0,bottom
J1,170.8325,-40.242244,0.0,bottom
J2,155.5925,-40.242244,0.0,bottom
SW1,125.0875,-37.8175,0.0,bottom
SW10,153.6625,-94.9675,0.0,bottom
SW11,172.7125,-99.73,0.0,bottom
SW12,191.7625,-114.0175,90.0,bottom
SW13,134.6125,-118.78,0.0,bottom
SW14,153.6625,-114.0175,0.0,bottom
SW15,172.7125,-118.78,0.0,bottom
SW16,134.6125,-137.83,0.0,bottom
SW17,153.6625,-133.0675,0.0,bottom
SW18,172.7125,-137.83,0.0,bottom
SW19,191.7625,-152.1175,90.0,bottom
SW2,144.1375,-37.8175,0.0,bottom
SW20,134.6125,-156.88,0.0,bottom
SW21,172.7125,-156.88,0.0,bottom
SW3,182.2375,-37.8175,0.0,bottom
SW4,201.2875,-37.8175,0.0,bottom
SW5,129.85,-75.9175,0.0,bottom
SW6,153.6625,-75.9175,0.0,bottom
SW7,172.7125,-80.68,0.0,bottom
SW8,191.7625,-85.4425,0.0,bottom
SW9,134.6125,-99.73,0.0,bottom
